Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Alex,Ruff,Bruce—Grey—Owen Sound,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,Ruby,Sahota,Brampton North,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Harjit S.,Sajjan,Vancouver South,British Columbia,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Ya'ara,Saks,York Centre,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Darrell,Samson,Sackville—Preston—Chezzetcook,Nova Scotia,Liberal,2021-09-20 12:00:00 a.m.,
,Randeep,Sarai,Surrey Centre,British Columbia,Liberal,2021-09-20 12:00:00 a.m.,
,Louis-Philippe,Sauvé,LaSalle—Émard—Verdun,Quebec,Bloc Québécois,2024-09-16 12:00:00 a.m.,
,Simon-Pierre,Savard-Tremblay,Saint-Hyacinthe—Bagot,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Francis,Scarpaleggia,Lac-Saint-Louis,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Andrew,Scheer,Regina—Qu'Appelle,Saskatchewan,Conservative,2021-09-20 12:00:00 a.m.,
,Peter,Schiefke,Vaudreuil—Soulanges,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Jamie,Schmale,Haliburton—Kawartha Lakes—Brock,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
,Kyle,Seeback,Dufferin—Caledon,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
,Marc G.,Serré,Nickel Belt,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Judy A.,Sgro,Humber River—Black Creek,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Brenda,Shanahan,Châteauguay—Lacolle,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Terry,Sheehan,Sault Ste. Marie,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Martin,Shields,Bow River,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
,Doug,Shipley,Barrie—Springwater—Oro-Medonte,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
,Maninder,Sidhu,Brampton East,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Sonia,Sidhu,Brampton South,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Mario,Simard,Jonquière,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Nathalie,Sinclair-Desgagné,Terrebonne,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Jagmeet,Singh,Burnaby South,British Columbia,NDP,2021-09-20 12:00:00 a.m.,
,Clifford,Small,Coast of Bays—Central—Notre Dame,Newfoundland and Labrador,Conservative,2021-09-20 12:00:00 a.m.,
,Francesco,Sorbara,Vaughan—Woodbridge,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Gerald,Soroka,Yellowhead,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
,Charles,Sousa,Mississauga—Lakeshore,Ontario,Liberal,2022-12-12 12:00:00 a.m.,
Hon.,Pascale,St-Onge,Brome—Missisquoi,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Gabriel,Ste-Marie,Joliette,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Warren,Steinley,Regina—Lewvan,Saskatchewan,Conservative,2021-09-20 12:00:00 a.m.,
,Don,Stewart,Toronto—St. Paul's,Ontario,Conservative,2024-06-24 12:00:00 a.m.,
,Jake,Stewart,Miramichi—Grand Lake,New Brunswick,Conservative,2021-09-20 12:00:00 a.m.,
,Mark,Strahl,Chilliwack—Hope,British Columbia,Conservative,2021-09-20 12:00:00 a.m.,
,Shannon,Stubbs,Lakeland,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,Jenna,Sudds,Kanata—Carleton,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Filomena,Tassi,Hamilton West—Ancaster—Dundas,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Leah Taylor,Roy,Aurora—Oak Ridges—Richmond Hill,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Luc,Thériault,Montcalm,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Alain,Therrien,La Prairie,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Rachael,Thomas,Lethbridge,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,Joanne,Thompson,St. John's East,Newfoundland and Labrador,Liberal,2021-09-20 12:00:00 a.m.,
,Corey,Tochor,Saskatoon—University,Saskatchewan,Conservative,2021-09-20 12:00:00 a.m.,
,Fraser,Tolmie,Moose Jaw—Lake Centre—Lanigan,Saskatchewan,Conservative,2021-09-20 12:00:00 a.m.,
Right Hon.,Justin,Trudeau,Papineau,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
,Denis,Trudel,Longueuil—Saint-Hubert,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,Ryan,Turnbull,Whitby,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Tim,Uppal,Edmonton Mill Woods,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,Rechie,Valdez,Mississauga—Streetsville,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Tony,Van Bynen,Newmarket—Aurora,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Adam,van Koeverden,Milton,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Tako,Van Popta,Langley—Aldergrove,British Columbia,Conservative,2021-09-20 12:00:00 a.m.,
Hon.,Dan,Vandal,Saint Boniface—Saint Vital,Manitoba,Liberal,2021-09-20 12:00:00 a.m.,
,Anita,Vandenbeld,Ottawa West—Nepean,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Karen,Vecchio,Elgin—Middlesex—London,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
,Gary,Vidal,Desnethé—Missinippi—Churchill River,Saskatchewan,Conservative,2021-09-20 12:00:00 a.m.,
,Dominique,Vien,Bellechasse—Les Etchemins—Lévis,Quebec,Conservative,2021-09-20 12:00:00 a.m.,
,Arnold,Viersen,Peace River—Westlock,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
,Julie,Vignola,Beauport—Limoilou,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
,René,Villemure,Trois-Rivières,Quebec,Bloc Québécois,2021-09-20 12:00:00 a.m.,
Hon.,Arif,Virani,Parkdale—High Park,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Brad,Vis,Mission—Matsqui—Fraser Canyon,British Columbia,Conservative,2021-09-20 12:00:00 a.m.,
,Kevin,Vuong,Spadina—Fort York,Ontario,Independent,2021-09-20 12:00:00 a.m.,
,Cathay,Wagantall,Yorkton—Melville,Saskatchewan,Conservative,2021-09-20 12:00:00 a.m.,
,Chris,Warkentin,Grande Prairie—Mackenzie,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
,Kevin,Waugh,Saskatoon—Grasswood,Saskatchewan,Conservative,2021-09-20 12:00:00 a.m.,
,Len,Webber,Calgary Confederation,Alberta,Conservative,2021-09-20 12:00:00 a.m.,
,Patrick,Weiler,West Vancouver—Sunshine Coast—Sea to Sky Country,British Columbia,Liberal,2021-09-20 12:00:00 a.m.,
Hon.,Jonathan,Wilkinson,North Vancouver,British Columbia,Liberal,2021-09-20 12:00:00 a.m.,
,Ryan,Williams,Bay of Quinte,Ontario,Conservative,2021-09-20 12:00:00 a.m.,
,John,Williamson,New Brunswick Southwest,New Brunswick,Conservative,2021-09-20 12:00:00 a.m.,
,Jean,Yip,Scarborough—Agincourt,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Salma,Zahid,Scarborough Centre,Ontario,Liberal,2021-09-20 12:00:00 a.m.,
,Bonita,Zarrillo,Port Moody—Coquitlam,British Columbia,NDP,2021-09-20 12:00:00 a.m.,
,Bob,Zimmer,Prince George—Peace River—Northern Rockies,British Columbia,Conservative,2021-09-20 12:00:00 a.m.,
,Sameer,Zuberi,Pierrefonds—Dollard,Quebec,Liberal,2021-09-20 12:00:00 a.m.,
